contestdojo_id,team_name,division,front_id
0MkV6QBKzOM0rJyP3sZm,Golden Pearl,Colt,001
0lILvykfw4SpMVLtWouj,Oneness Family School Math Team,Colt,002
0zycRE1o9aaegECgimIZ,Math Count,Foal,003
15Ut4UpI9XbvjSu0qyoq,Angry_Birds,Stallion,004
1sRzkSgNSvq6ST3WyNDX,Clarke,Colt,005
2F9qmgIwrmACQJ2rVfzT,Super Wang Odyssey,Foal,006
4uqqH0cGZot7AYhkKIUn,Trojan horse,Colt,007
71QWHacNQTTgGRvLqcgO,CREEPER,Colt,008
7E8mrbqW47EkHU7jk2CG,Seminole Science 3,Foal,009
7I5BSWVk9COuZ4y21SFr,Lumi,Foal,010
87CH9glcbQAtZIdbEF0r,last place here we come,Foal,011
9krYQ3fiRsAGiPDiC692,Dlvision LLC,Foal,012
A8GHnehR8SvNJc4haL3I,Miller Beasts,Colt,013
Bx5J9WqMjxxtdARQ9dxm,Team 2,Foal,014
CjdRLTN3ZinVkO2EfMxB,Trojan horse,Colt,015
Cu1SXlOIQordnlGRT5lF,Math Children,Foal,016
DVrlKocvCUy8WNEsNzbc,Carter Lo,Colt,017
FHqi5TmxnW1Wvis0Ec93,The Pandas,Stallion,018
FzRLmOHolWMCjnX6p6Ij,Shreyus and Friends,Stallion,019
INUEPfDU4brsZs5ZYidT,Mathlete,Stallion,020
JV6bgJJTtrHEKNUjt1gF,Evergreen Masters,Stallion,021
Ky7J0rDl0eiDXOrG1jrK,Team 3,Stallion,022
LvYDAuUkxSD61hzeGSTr,Mustangs,Stallion,023
Nn9r1r1mDMwKxXCdRdjo,Grappling Gorillas,Stallion,024
Nr6duT2ld6Z2bYit6bQ4,mooku,Colt,025
OLbuXcPddMUfaFqYgbwC,Haas Hall Academy Bentonville Math Team,Foal,026
RbdIA11AG4666RDQoDyP,Grace Xie,Colt,027
RyFaCtjodu9yL0HhLII9,Team 1,Stallion,028
SGA33g4VJJYjgdDBL5kx,Toko,Stallion,029
TiRQGqjexh9h1TRcY03r,MathCats,Foal,030
Vj6tnzHPgyYtptMqgm1O,Nueva Maverick Mathletes,Stallion,031
VmjJTymeTLsPztT3jRjW,test,Foal,032
YTFACZGJVXqgnse4hpuW,LMS Math 1,Stallion,033
aG6Zfk2CQi91dH2F4eh4,Youngsville Middle School,Foal,034
b7WVWqJiIhyWMDADPWbw,The Pink Panther,Foal,035
eK6ebGCtdRUaIm8ZFarR,JOHN PAUL COLLEGE,Stallion,036
elJwdD1nxGMSJOWhyC93,Ladue Pi-oneers,Foal,037
guYi6PWiwqlgfweeMi7u,Trojan horses ,Colt,038
hA32r00lAy6jcfz63Zca,TWY math circle,Stallion,039
hDFT7qUjfkH3GG6DFagN,Varun Team,Stallion,040
hhsCqzJmZihEhyV39I9n,Nueva Mathemagicians,Stallion,041
hpz3lq7kyRyqRbty1h6s,xonks solos,Foal,042
jKT4jeZ00OtgpyTX376I,BrightKids,Foal,043
koV4yudXcBuTyi9eY6Re,Seminole Science 2,Stallion,044
l1w8zneUdUCaRD5AhoV0,MathRabbit,Colt,045
lUT3ZbzDr6hbx0LNkF8e,CADragon,Colt,046
lqUEYTaXa4l6LsMxDhao,Raven,Stallion,047
mCo7B1XrWnZNwffOoAdE,Seminole Science 1,Stallion,048
naocp8giKsXyGXlA4j4g,Trojan horse,Colt,049
oPF7f0XKd6dkVYZBmZYI,Lower Macungie Middle School,Foal,050
oyCQHrwPJGIae3JuIe90,JOHN PAUL COLLEGE,Stallion,051
pHiSZuv4JvKVvAS1NiIa,Titan@MCSA,Stallion,052
qMm70TZ7bAuTt8KPfplO,The ⅀𝝅s,Stallion,053
r6d9DE0J63jfi28Mr830,Shreyus and Friends,Stallion,054
r9LxvGNPK2Lscqdz90WL,The Komodo dragons,Colt,055
x4Zi0Pdp5p3vHxiWfrFS,Seattle Homeschool Group 8,Foal,056
xKnVTLGCvVgPER8mIuZr,Lassen Academy,Foal,057
xSUzbF6gaLeeJ3J7CiYr,WeDoKnow_Math,Colt,058
ymMdiktDqJqYbXBAxtXt,IMS Math Team,Colt,059
zAmof3vxqXJx9pwwyvgz,Cosmic Orthogonality,Stallion,060
zee57S6lcu0bCph56t8D,test,Foal,061
zmFT6Ye5F1vEuF929auC,The IS Titans,Foal,062
0YCtYfWxcUJcro7sNHYc,Team 4,Colt,063
CWUWNAWHW6CUrS2rNFHn,Team 2,Foal,064
DzgUYJzGF78Gxk5qM1AS,Team 10,Stallion,065
LoUoGCFl1mmHeTnvLg84,Team 11,Stallion,066
PQaX8WRLxhtL19OXmgiq,Team 1,Stallion,067
UbpBjfCgEF34D9eXfrGt,Team 5,Colt,068
ek00vJzjTIBHz9D9Kkzo,Calculicious,Stallion,069
ewVSEdfP5h60AyWADEuu,Team 9,Stallion,070
gCK6mBdfijHYrDLJOOjE,BiloxiTomahawk,Stallion,071
nmIDP14UJTNgy5DGs7It,Trojan Horses,Colt,072
yGHN0gjZeoBNji9guB9l,Team 3,Foal,073
