contestdojo_id,team_name,division,front_id
AZ01,AZ01,Foal,AZ01
AZ02,AZ02,Foal,AZ02
AZ03,AZ03,Foal,AZ03
AZ04,AZ04,Foal,AZ04
AZ05,AZ05,Stallion,AZ05
AZ06,AZ06,Stallion,AZ06
AZ07,AZ07,Stallion,AZ07
BR01,BR01,Foal,BR01
BR02,BR02,Foal,BR02
BR03,BR03,Stallion,BR03
BR04,BR04,Stallion,BR04
CA01,CA01,Foal,CA01
CA02,CA02,Foal,CA02
CA03,CA03,Stallion,CA03
CH01,CH01,Colt,CH01
CH02,CH02,Foal,CH02
ID01,ID01,Colt,ID01
ID02,ID02,Colt,ID02
ID03,ID03,Colt,ID03
ID04,ID04,Colt,ID04
ID05,ID05,Colt,ID05
ID06,ID06,Foal,ID06
ID07,ID07,Foal,ID07
ID08,ID08,Foal,ID08
ID09,ID09,Foal,ID09
ID10,ID10,Foal,ID10
ID11,ID11,Foal,ID11
ID12,ID12,Foal,ID12
ID13,ID13,Foal,ID13
ID14,ID14,Foal,ID14
ID15,ID15,Foal,ID15
ID16,ID16,Stallion,ID16
ID17,ID17,Stallion,ID17
ID18,ID18,Stallion,ID18
ID19,ID19,Stallion,ID19
ID20,ID20,Stallion,ID20
ID21,ID21,Stallion,ID21
ID22,ID22,Foal,ID22
IL01,IL01,Colt,IL01
IL02,IL02,Foal,IL02
IL03,IL03,Foal,IL03
IL04,IL04,Foal,IL04
IL05,IL05,Stallion,IL05
IL06,IL06,Colt,IL06
IL07,IL07,Stallion,IL07
IL08,IL08,Stallion,IL08
KG01,KG01,Foal,KG01
KG02,KG02,Colt,KG02
KH01,KH01,Colt,KH01
KH02,KH02,Foal,KH02
KH03,KH03,Foal,KH03
KH04,KH04,Foal,KH04
KH05,KH05,Foal,KH05
KH06,KH06,Foal,KH06
KH07,KH07,Stallion,KH07
KH08,KH08,Stallion,KH08
KH09,KH09,Stallion,KH09
MM01,MM01,Foal,MM01
MM02,MM02,Foal,MM02
MM03,MM03,Foal,MM03
MM04,MM04,Foal,MM04
MM05,MM05,Foal,MM05
MM06,MM06,Foal,MM06
MM07,MM07,Foal,MM07
MM08,MM08,Foal,MM08
MM09,MM09,Foal,MM09
MM10,MM10,Foal,MM10
MM11,MM11,Colt,MM11
MM12,MM12,Colt,MM12
MM13,MM13,Foal,MM13
MM14,MM14,Colt,MM14
MM15,MM15,Colt,MM15
MM16,MM16,Stallion,MM16
MM17,MM17,Stallion,MM17
MM18,MM18,Stallion,MM18
MY01,MY01,Foal,MY01
MY02,MY02,Foal,MY02
MY03,MY03,Colt,MY03
MY04,MY04,Colt,MY04
MY05,MY05,Stallion,MY05
MY06,MY06,Stallion,MY06
NZ01,NZ01,Foal,NZ01
NZ02,NZ02,Foal,NZ02
PH01,PH01,Colt,PH01
PH02,PH02,Foal,PH02
PH03,PH03,Foal,PH03
PH04,PH04,Foal,PH04
PH05,PH05,Foal,PH05
PH06,PH06,Foal,PH06
PH07,PH07,Stallion,PH07
PH08,PH08,Stallion,PH08
SG01,SG01,Foal,SG01
SG02,SG02,Colt,SG02
SG03,SG03,Stallion,SG03
SG04,SG04,Stallion,SG04
TH01,TH01,Foal,TH01
TR01,TR01,Foal,TR01
TR02,TR02,Foal,TR02
TR03,TR03,Foal,TR03
TR04,TR04,Colt,TR04
TR05,TR05,Colt,TR05
TR06,TR06,Colt,TR06
TR07,TR07,Stallion,TR07
UZ01,UZ01,Foal,UZ01
UZ02,UZ02,Foal,UZ02
UZ03,UZ03,Foal,UZ03
UZ04,UZ04,Colt,UZ04
UZ05,UZ05,Stallion,UZ05
